Time (s),Kanaal 1
0,0.1992
1,0.1395
2,0.1395
3,0.0598
4,0.0000
5,0.0598
6,0.0000
7,-0.3586
8,-0.6176
9,-0.5180
10,-0.4383
11,-0.0797
12,0.0797
13,0.0996
14,0.1195
15,0.1195
16,0.1793
17,0.1793
18,0.0797
19,-0.0199
20,-0.0398
21,0.0398
22,0.0398
23,0.0000
24,-0.0398
25,0.0000
26,0.0000
27,-0.0598
28,-0.0398
29,-0.0598
30,-0.1395
31,-0.1594
32,-0.0996
33,0.0199
34,-0.0797
35,-0.2191
36,-0.4184
37,-0.4383
38,-0.3586
39,-0.1594
40,0.0199
41,0.2191
42,0.2590
43,0.1793
44,0.1793
45,0.1594
46,-0.0199
47,-0.0996
48,-0.0996
49,-0.0398
50,-0.0199
51,0.0000
52,-0.0398
53,-0.0797
54,-0.0199
55,0.0199
56,0.0996
57,0.1992
58,0.2590
59,0.2988
60,0.2789
61,0.2988
62,0.1594
63,-0.0598
64,-0.0996
65,-0.1195
66,-0.0199
67,0.0598
68,0.0000
69,0.0398
70,0.0000
71,0.0000
72,0.0199
73,0.0598
74,0.0000
75,-0.1992
76,-0.4582
77,-0.5379
78,-0.1195
79,0.1594
80,0.2988
81,0.3984
82,0.3586
83,0.2988
84,0.1395
85,-0.0398
86,0.0000
87,-0.1395
88,-0.1395
89,-0.0797
90,0.0000
91,-0.0996
92,-0.1594
93,-0.1395
94,-0.0996
95,-0.0797
96,-0.0598
97,-0.0398
98,-0.0398
99,0.0199
100,0.1594
101,0.2391
102,0.1395
103,0.1793
104,0.2789
105,0.1992
106,0.0996
107,0.0199
108,-0.0398
109,0.0398
110,0.0797
111,0.1395
112,0.2391
113,0.2590
114,0.2590
115,0.2191
116,0.2191
117,0.2191
118,0.1395
119,0.0598
120,-0.0797
121,-0.1992
122,-0.2191
123,-0.2988
124,-0.2988
125,-0.1594
126,0.0598
127,0.1793
128,0.1992
129,0.1793
130,0.1992
131,0.1195
132,0.1992
133,0.1992
134,0.1992
135,-0.0199
136,-0.1594
137,-0.1594
138,0.0000
139,0.0996
140,0.2590
141,0.2789
142,0.1992
143,0.1395
144,0.0398
145,0.0000
146,-0.1793
147,-0.1395
148,-0.0797
149,-0.0199
150,-0.0996
151,-0.1195
152,-0.0598
153,-0.0598
154,-0.1395
155,-0.0996
156,-0.2191
157,-0.3188
158,-0.3984
159,-0.2590
160,-0.0996
161,0.0797
162,0.1395
163,0.1395
164,0.0797
165,0.0996
166,-0.0398
167,-0.1594
168,-0.2988
169,-0.3586
170,-0.4184
171,-0.3586
172,-0.2988
173,-0.2391
174,-0.3586
175,-0.5180
176,-0.5379
177,-0.4184
178,-0.1594
179,0.0398
180,0.1195
181,0.0598
182,-0.2191
183,-0.2590
184,-0.1395
185,0.2391
186,0.4781
187,0.4582
188,0.4582
189,0.3387
190,0.2590
191,0.2191
192,0.0598
193,-0.0199
194,0.0000
195,0.1992
196,0.1793
197,0.1793
198,0.0797
199,0.0398
200,-0.0398
201,0.0199
202,0.0000
203,-0.0199
204,-0.0398
205,-0.0797
206,-0.0797
207,-0.0797
208,-0.0598
209,-0.0797
210,0.0199
