Time (s),Kanaal 1
211,-0.0398
212,-0.0398
213,-0.0996
214,-0.0797
215,-0.0797
216,-0.0398
217,0.0000
218,-0.1195
219,-0.0996
220,0.0598
221,0.1793
222,0.2789
223,0.2789
224,0.2391
225,0.1195
226,-0.0199
227,-0.1395
228,-0.1594
229,-0.1195
230,-0.0199
231,-0.1195
232,0.0199
233,0.1992
234,0.2191
235,0.2988
236,0.3188
237,0.1793
238,0.0199
239,-0.1195
240,-0.1395
241,-0.0398
242,0.0000
243,0.0398
244,0.0199
245,0.0398
246,0.0199
247,-0.1793
248,-0.3785
249,-0.3785
250,-0.2191
251,0.0199
252,0.0996
253,0.0797
254,0.0996
255,0.0797
256,0.0598
257,-0.0797
258,-0.0996
259,-0.1395
260,-0.0398
261,-0.0199
262,-0.0398
263,-0.0199
264,0.0199
265,0.1992
266,0.2391
267,0.1992
268,0.1793
269,0.0797
270,0.0598
271,-0.0398
272,-0.1594
273,-0.1395
274,-0.1395
275,-0.1195
276,-0.1195
277,-0.1195
278,-0.0398
279,-0.0797
280,-0.0797
281,-0.0996
282,-0.0996
283,-0.1395
284,-0.1594
285,-0.1395
286,-0.1594
287,-0.0797
288,0.0598
289,0.1395
290,0.0199
291,-0.0598
292,-0.2391
293,-0.2590
294,-0.3188
295,-0.3586
296,-0.3188
297,-0.2191
298,-0.1195
299,0.0000
300,0.0598
301,0.0398
302,0.0996
303,0.1395
304,0.2191
305,0.1992
306,0.0598
307,0.1195
308,0.1992
309,0.1793
310,-0.0398
311,-0.0797
312,0.0000
313,0.0199
314,0.0398
315,0.1395
316,0.1395
317,0.0598
318,0.2191
319,0.2191
320,0.2391
321,0.1793
322,0.0000
323,-0.1395
324,-0.2590
325,-0.1195
326,0.1992
327,0.4781
328,0.3785
329,0.2590
330,0.1992
331,0.1594
332,0.1395
333,0.0000
334,0.0000
335,0.1992
336,0.0398
337,0.0996
338,0.1793
339,0.1793
340,0.0398
341,-0.0199
342,0.0398
343,0.1594
344,0.2789
345,0.2988
346,0.0996
347,-0.1195
348,-0.1395
349,-0.0398
350,0.0199
351,0.0000
352,0.0199
353,0.0398
354,-0.0398
355,0.0000
356,-0.0598
357,-0.1793
358,-0.2988
359,-0.1195
360,-0.0398
361,0.0598
362,0.1793
363,0.3785
364,0.2789
365,0.3586
366,0.2988
367,0.0797
368,0.0199
369,-0.0797
370,-0.0797
371,-0.1195
372,-0.1395
373,-0.0199
374,-0.0199
375,0.0797
376,0.0598
377,0.0996
378,-0.1195
379,-0.2191
380,-0.2789
381,-0.2391
382,-0.3586
383,-0.5180
384,-0.3984
385,-0.0996
386,0.1395
387,0.3387
388,0.4582
389,0.4781
390,0.3984
391,0.1793
392,0.0398
393,-0.0797
394,-0.1395
395,-0.1195
396,-0.0797
397,-0.0398
398,-0.1395
399,-0.2590
400,-0.1992
401,-0.0398
402,-0.0598
403,-0.0598
404,-0.2590
405,-0.2789
406,-0.1395
407,0.0398
408,0.1594
409,0.2191
410,0.3188
411,0.3785
412,0.2191
413,0.0996
414,0.0797
415,0.0000
416,0.0598
417,0.0598
418,0.0996
419,0.0797
420,0.0199
421,0.1195
422,0.0797
423,-0.1195
424,-0.2391
425,-0.1395
426,0.0797
427,0.1793
428,0.2590
429,0.1992
430,0.1594
431,0.1594
432,0.0797
433,0.0996
434,0.0398
435,0.0199
436,0.0199
437,0.1992
438,0.2191
439,0.2988
440,0.3188
441,0.2789
442,0.2590
443,0.1395
444,-0.1594
445,-0.4184
446,-0.3785
447,-0.1992
448,0.0000
449,0.0598
450,0.1395
451,0.1992
452,0.0797
453,0.1395
454,-0.0598
455,-0.2590
456,-0.3188
457,-0.2191
458,-0.0199
459,-0.0398
460,0.1195
461,0.0996
462,0.1395
463,0.1992
464,0.0598
465,0.0199
466,0.0398
467,-0.1793
468,-0.2391
469,-0.1992
470,-0.0797
471,0.0797
472,0.0598
473,0.0199
474,-0.1992
475,-0.2988
476,-0.1992
477,-0.1594
478,-0.2789
479,-0.3188
480,-0.2590
481,-0.1992
482,-0.0199
483,-0.0398
484,-0.1793
485,-0.1395
486,-0.1793
487,-0.2590
488,-0.1992
489,-0.0797
490,0.0398
491,0.0598
492,0.0996
493,0.0797
494,-0.0598
495,-0.0598
496,-0.0996
497,-0.0398
498,0.0000
499,0.0199
500,0.1195
501,0.0598
502,0.0797
503,-0.0398
504,-0.1793
505,-0.3586
506,-0.2191
507,-0.1195
508,-0.0398
509,-0.0598
510,-0.0797
511,-0.0598
512,-0.0199
513,0.0199
514,-0.0996
515,-0.0996
516,-0.0199
517,-0.0398
518,0.0797
519,0.0996
520,0.2391
521,0.1195
522,0.0000
523,-0.1195
524,-0.1195
525,-0.0199
526,0.0996
527,0.1793
528,0.2789
529,0.2191
530,0.1594
531,0.0797
532,-0.0996
533,-0.3188
534,-0.5977
535,-0.4582
536,-0.3387
537,-0.1992
538,-0.0199
539,0.0598
540,-0.0199
541,-0.0598
542,-0.0199
543,0.0398
544,-0.0797
545,0.0000
546,0.0199
547,0.0797
548,0.0598
549,-0.0398
550,-0.1195
551,-0.0797
552,-0.1195
553,-0.2590
554,-0.3785
555,-0.1594
556,0.1195
557,0.3586
558,0.4582
559,0.3984
560,0.3586
561,0.1992
562,-0.0797
563,-0.0797
564,-0.0996
565,-0.0797
566,0.1793
567,0.3188
568,0.3785
569,0.2988
570,0.2789
571,0.2391
572,0.2789
573,0.3387
574,0.1793
575,0.1594
576,0.0797
577,0.0996
578,0.1395
579,0.0598
580,0.0199
581,-0.0797
582,0.0000
583,0.0000
584,0.0797
585,0.1594
586,0.1594
587,-0.0797
588,-0.1594
589,-0.1195
590,0.0199
591,-0.0996
592,-0.1395
593,-0.2391
594,-0.2191
595,-0.1793
596,-0.2191
597,-0.0199
598,0.0996
599,0.1992
600,0.3188
601,0.1992
602,0.2590
603,0.1594
604,0.0797
605,0.0797
606,0.0398
607,-0.0797
608,-0.0797
609,-0.0996
610,-0.0996
611,-0.1793
612,-0.1992
613,-0.2191
614,-0.3188
615,-0.4980
616,-0.5379
617,-0.6176
618,-0.5977
619,-0.3785
620,-0.1992
621,-0.0398
622,0.0797
623,0.1195
624,0.1195
625,0.0797
626,0.0000
627,0.0996
628,-0.0199
629,-0.1395
630,-0.2391
631,-0.4383
632,-0.3984
633,-0.3387
634,-0.1594
635,0.0398
636,0.1793
637,0.2191
638,0.3188
639,0.3785
640,0.4184
641,0.4980
642,0.4184
643,0.3785
644,0.2789
645,0.1395
646,0.1395
647,0.0398
648,0.0000
649,0.0000
650,0.0398
651,0.0598
652,-0.0199
653,-0.0797
654,-0.0996
655,-0.1395
656,-0.2789
657,-0.1992
658,-0.1195
659,0.0398
660,0.2191
661,0.3984
662,0.4980
663,0.5379
664,0.5180
665,0.4781
666,0.2789
667,0.1992
668,0.0996
669,-0.1594
670,-0.3586
671,-0.1395
672,0.0000
673,0.1195
674,0.2391
675,0.2391
676,0.1793
677,0.1992
678,0.0598
679,-0.0398
680,-0.0598
681,-0.1594
682,-0.2191
683,-0.1195
684,-0.0199
685,0.0797
686,0.0000
687,-0.2191
688,-0.3785
689,-0.2391
690,-0.0996
691,0.0996
692,0.1395
693,0.0996
694,0.1195
695,0.2191
696,0.2391
697,0.1594
698,0.0000
699,-0.3586
700,-0.3984
701,-0.2988
702,-0.1793
703,-0.0996
704,0.0398
705,0.1395
706,0.1793
707,0.0996
708,0.0598
709,-0.0797
710,-0.2191
711,-0.1992
712,-0.1395
713,-0.0797
714,-0.1195
715,-0.1793
716,-0.0398
717,-0.1195
718,-0.1793
719,-0.2191
720,-0.3387
721,-0.5180
722,-0.5777
723,-0.3984
724,-0.1992
725,-0.1594
726,-0.2191
727,-0.2191
728,-0.1195
729,-0.0598
730,0.0199
731,0.1395
732,0.1395
733,0.1594
734,0.0996
735,0.0598
736,0.1594
737,0.2191
738,0.0797
739,0.0398
740,0.0199
741,0.0398
742,-0.0199
743,-0.0797
744,-0.0598
745,-0.1992
746,-0.2789
747,-0.2988
748,-0.2590
749,-0.2789
750,-0.1395
751,-0.0199
752,0.0199
753,0.0000
754,0.0398
755,0.0598
756,0.0996
757,0.0598
758,-0.1195
759,-0.2191
760,-0.1793
761,-0.3188
762,-0.6375
763,-0.5379
764,-0.0398
765,0.2391
766,0.3387
767,0.2789
768,0.1793
769,0.0000
770,-0.0398
771,0.0199
772,-0.0398
773,-0.1992
774,-0.2988
775,-0.2191
776,-0.1793
777,-0.3188
778,-0.2988
779,-0.2391
780,-0.3586
781,-0.2988
782,-0.1395
783,0.0000
784,0.0996
785,0.0598
786,0.0598
787,0.0000
788,0.0797
789,0.0598
790,0.1395
791,0.1793
792,0.1195
793,0.1195
794,0.2391
795,0.1992
796,0.1195
797,0.0398
798,0.1195
799,0.0398
800,0.0000
801,0.0000
802,0.0598
803,0.0398
804,-0.0797
805,-0.3785
806,-0.4383
807,-0.4383
808,-0.2988
809,-0.0797
810,0.0398
811,0.1195
812,0.1395
813,-0.0797
814,0.0000
815,0.1793
816,0.2789
817,0.2988
818,0.2391
819,0.1594
820,0.0797
821,-0.1395
822,-0.1395
823,-0.1395
824,-0.1395
825,-0.0398
826,-0.1195
827,-0.2988
828,-0.2590
829,-0.0598
830,0.0598
831,0.0398
832,0.1992
833,0.1992
834,0.1594
835,0.2988
836,0.3387
837,0.3586
838,0.3387
839,0.3586
840,0.2191
841,0.2590
842,0.1594
843,-0.0398
844,-0.3984
845,-0.5180
846,-0.4582
847,-0.3984
848,-0.2191
849,-0.0199
850,0.0398
851,0.1793
852,0.1395
853,0.0398
854,0.2391
855,0.2988
856,0.2789
857,0.3586
858,0.2590
859,0.2191
860,0.1395
861,0.0797
862,-0.0797
863,-0.2590
864,-0.1793
865,-0.0996
866,-0.0996
867,-0.0996
868,-0.1195
869,-0.1594
870,-0.1594
871,-0.1992
872,-0.2191
873,-0.2789
874,-0.1793
875,-0.1395
876,-0.1992
877,-0.2988
878,-0.3188
879,-0.2590
880,-0.1195
881,0.0000
882,-0.0199
883,-0.0598
884,-0.0199
885,-0.0199
886,-0.1395
887,-0.2988
888,-0.2988
889,-0.2191
890,-0.2988
891,-0.3387
892,-0.3586
893,-0.3785
894,-0.1992
895,-0.0398
896,-0.2191
897,-0.0199
898,0.3387
899,0.3984
900,0.2391
901,0.0797
902,0.0996
903,0.2391
904,0.2590
905,0.2590
906,0.1992
907,0.1793
908,0.0000
909,0.0797
910,0.0797
911,0.0996
912,0.0598
913,-0.0398
914,-0.0996
915,-0.0598
916,0.0398
917,0.0797
918,0.1594
919,0.1594
920,0.1594
921,0.0398
922,0.0199
923,0.0797
924,-0.0199
925,-0.0398
926,-0.0797
927,-0.2789
928,-0.2789
929,-0.2988
930,-0.1793
931,-0.0199
932,0.0797
933,0.1594
934,0.1992
935,0.1793
936,0.2191
937,0.0199
938,0.0199
939,-0.0199
940,0.0996
941,0.1395
942,0.0797
943,-0.0398
944,-0.0199
945,-0.0598
946,-0.0199
947,0.2789
948,0.1992
949,0.1793
950,0.0996
951,-0.0398
952,-0.0996
953,-0.0199
954,0.0398
955,0.0598
956,0.0000
957,-0.1195
958,-0.1594
959,-0.1793
960,-0.1195
961,-0.1992
962,-0.3188
963,-0.6773
964,-0.7172
965,-0.3984
966,-0.2789
967,0.0797
968,0.2789
969,0.1395
970,0.0199
971,-0.0398
972,-0.0398
973,0.0199
974,-0.0199
975,0.0598
976,0.0797
977,0.0797
978,-0.0398
979,-0.0199
980,0.0199
981,-0.0598
982,-0.0199
983,0.0000
984,-0.0797
985,-0.0199
986,0.0598
987,-0.0996
988,-0.0797
989,-0.1594
990,-0.5777
991,-0.4582
992,-0.1992
993,0.0000
994,0.0996
995,0.2191
996,0.2590
997,0.2789
998,0.2789
999,0.2789
1000,0.0996
1001,0.0797
1002,0.1195
1003,0.1195
1004,0.0398
1005,0.0000
1006,-0.0199
1007,-0.1395
1008,-0.0398
1009,-0.1992
1010,-0.1793
1011,-0.1594
1012,-0.2191
1013,-0.1195
1014,-0.1992
1015,-0.2789
1016,-0.1992
1017,-0.1992
1018,-0.1195
1019,-0.1195
1020,0.0000
1021,0.0000
1022,0.0000
1023,0.0000
1024,-0.0996
1025,-0.2191
1026,-0.3387
1027,-0.3984
1028,-0.3188
1029,-0.1793
1030,-0.0199
1031,-0.0398
1032,-0.0598
1033,-0.0797
1034,-0.0996
1035,-0.0199
1036,0.1395
1037,0.0598
1038,-0.0199
1039,-0.0996
1040,-0.1195
1041,-0.2191
1042,-0.1793
1043,-0.0797
1044,-0.0996
1045,-0.1195
1046,-0.1793
1047,-0.2988
1048,-0.2590
1049,-0.1195
1050,-0.1195
1051,-0.1195
1052,-0.0996
1053,-0.0598
1054,-0.0398
1055,0.0996
1056,0.0797
1057,0.0996
1058,0.1992
1059,0.1395
1060,0.1992
1061,0.0996
1062,0.0996
1063,0.1195
1064,0.0398
1065,-0.0199
1066,-0.0996
1067,-0.1594
1068,-0.0996
1069,-0.0996
1070,-0.0199
1071,0.0398
1072,0.0199
1073,0.0199
1074,-0.1594
1075,-0.1594
1076,0.0398
1077,0.2191
1078,0.2191
1079,0.1594
1080,0.1395
1081,0.1395
1082,0.2590
1083,0.1195
1084,0.0598
1085,0.0598
1086,-0.1195
1087,-0.0598
1088,0.1395
1089,0.2391
1090,0.2590
1091,0.2191
1092,0.2191
1093,0.1992
1094,0.0598
1095,-0.0598
1096,-0.1793
1097,0.0199
1098,0.3785
1099,0.4184
1100,0.3387
1101,0.1992
1102,0.1594
1103,0.0398
1104,0.0398
1105,0.0797
1106,0.0598
1107,0.2191
1108,0.0398
1109,-0.2590
1110,-0.2789
1111,-0.0797
1112,0.0000
1113,0.0996
1114,0.0797
1115,0.0598
1116,0.0398
1117,-0.0996
1118,-0.1594
1119,-0.1793
1120,-0.0398
1121,0.0598
1122,0.1992
1123,0.2391
1124,0.2391
1125,0.1793
1126,0.1195
1127,0.1793
1128,0.1992
1129,0.0996
1130,0.1594
1131,0.0797
1132,0.0598
1133,0.0797
1134,0.0398
1135,0.0000
1136,-0.2590
1137,-0.3586
1138,-0.1594
1139,-0.0199
1140,-0.0199
1141,0.0398
1142,0.0598
1143,0.1195
1144,0.0199
1145,0.1992
1146,0.0199
1147,-0.2391
1148,-0.3387
1149,-0.2988
1150,-0.0797
1151,0.0398
1152,0.0996
1153,0.0000
1154,-0.3188
1155,-0.3984
1156,-0.2191
1157,0.1195
1158,0.2191
1159,0.2391
1160,0.2191
1161,0.1594
1162,0.0996
1163,0.1195
1164,-0.0199
1165,-0.1793
1166,-0.2191
1167,-0.1395
1168,0.0398
1169,0.1992
1170,0.3586
1171,0.3586
1172,0.2391
1173,0.1992
1174,0.1992
1175,0.3188
1176,0.2988
1177,0.2191
1178,0.2191
1179,0.1793
1180,0.1395
1181,-0.0598
1182,-0.1195
1183,-0.1992
1184,-0.0797
1185,0.0598
1186,0.0598
1187,-0.0199
1188,0.0398
1189,-0.0797
1190,-0.1992
1191,-0.1195
1192,-0.0797
1193,-0.0199
1194,-0.0996
1195,-0.0398
1196,0.0000
1197,-0.0199
1198,-0.0199
1199,-0.0199
1200,-0.0996
1201,-0.1195
1202,-0.1195
1203,-0.1195
1204,-0.0996
1205,-0.0996
1206,-0.1195
1207,-0.1395
1208,-0.2191
1209,-0.1992
1210,-0.1195
1211,-0.0398
1212,-0.0398
1213,0.0398
1214,0.0398
1215,-0.0398
1216,0.0797
1217,0.1793
1218,0.2391
1219,0.1992
1220,0.1594
1221,-0.0797
1222,-0.1594
1223,-0.2191
1224,-0.2789
1225,-0.5379
1226,-0.4980
1227,-0.1793
1228,-0.0598
1229,-0.1395
1230,-0.2391
1231,0.0398
1232,0.2789
1233,0.3188
1234,0.4383
1235,0.3188
1236,0.2590
1237,0.2988
1238,0.3586
1239,0.2391
1240,0.0996
1241,0.0199
1242,-0.2191
1243,-0.4980
1244,-0.4980
1245,-0.3586
1246,-0.2988
1247,-0.0996
1248,0.0598
1249,0.2191
1250,0.2988
1251,0.5180
1252,0.4184
1253,0.2789
1254,0.0598
1255,-0.0598
1256,-0.1793
1257,-0.0996
1258,-0.0398
1259,-0.0199
1260,-0.1195
1261,-0.3387
1262,-0.3387
1263,-0.2590
1264,-0.1594
1265,-0.0797
1266,-0.0199
1267,0.1594
1268,0.2590
1269,0.0797
1270,0.0797
1271,0.0199
1272,-0.0199
1273,0.0199
1274,-0.0398
1275,0.0000
1276,-0.0797
1277,-0.2191
1278,0.0199
1279,0.0398
1280,0.0199
1281,0.0000
1282,-0.0598
1283,-0.0199
1284,-0.0398
1285,-0.0398
1286,-0.0199
1287,-0.1395
1288,-0.2789
1289,-0.2590
1290,-0.0598
1291,0.0000
1292,-0.0598
1293,-0.0398
1294,0.0000
1295,0.0000
1296,0.0996
1297,0.1594
1298,0.2590
1299,0.2391
1300,0.1992
1301,0.0598
1302,-0.2988
1303,-0.1992
1304,-0.0996
1305,0.0797
1306,0.1992
1307,0.2391
1308,0.1992
1309,0.1594
1310,0.0598
1311,0.0598
1312,-0.0398
1313,-0.1195
1314,-0.1395
1315,-0.2789
1316,-0.2789
1317,-0.2988
1318,-0.3188
1319,-0.2988
1320,-0.2590
1321,-0.3188
1322,-0.2191
1323,0.0598
1324,0.1195
1325,0.1395
1326,0.2789
1327,0.2391
1328,0.0199
1329,-0.1992
1330,-0.1195
1331,0.0000
1332,-0.2391
1333,-0.0797
1334,0.0000
1335,0.1395
1336,0.1992
1337,0.1992
1338,0.2191
1339,0.1793
1340,0.0996
1341,0.0996
1342,0.0996
1343,0.1594
1344,0.0797
1345,-0.0398
1346,-0.1195
1347,-0.1195
1348,-0.0996
1349,-0.1793
1350,-0.2590
1351,-0.1793
1352,-0.1793
1353,-0.1992
1354,-0.1594
1355,-0.0996
1356,-0.1195
1357,-0.0797
1358,0.0398
1359,0.1395
1360,0.1793
1361,0.0000
1362,-0.0797
1363,-0.0797
1364,-0.0598
1365,-0.1195
1366,-0.1793
1367,-0.2191
1368,-0.1992
1369,-0.1992
1370,-0.1395
1371,-0.1992
1372,-0.0797
1373,0.0000
1374,0.0398
1375,0.1195
1376,0.1793
1377,0.1395
1378,0.0398
1379,-0.0598
1380,0.0398
1381,0.1195
1382,0.0598
1383,0.0398
1384,0.0199
1385,-0.0598
1386,-0.1793
1387,-0.3785
1388,-0.3785
1389,-0.2789
1390,-0.1195
1391,0.0398
1392,0.1395
1393,0.0797
1394,0.0996
1395,0.0199
1396,0.0797
1397,0.1395
1398,0.1195
1399,0.0797
1400,0.0000
1401,-0.0598
1402,0.0199
1403,-0.0398
1404,-0.0598
1405,-0.4184
1406,-0.3984
1407,-0.2590
1408,0.0199
1409,0.1395
1410,0.0797
1411,0.1992
1412,0.2191
1413,0.2590
1414,0.2391
1415,0.3387
1416,0.2391
1417,0.0797
1418,0.0598
1419,-0.0598
1420,-0.1992
1421,-0.2590
1422,-0.1395
1423,0.0598
1424,0.1992
1425,0.2391
1426,0.3188
1427,0.3785
1428,0.3785
1429,0.3188
1430,0.2391
1431,0.0996
1432,-0.1195
1433,-0.1992
1434,-0.2191
1435,-0.1594
1436,-0.1594
1437,-0.0996
1438,-0.1195
1439,-0.0199
1440,-0.0398
1441,-0.0797
1442,-0.1793
1443,-0.1195
1444,-0.1395
1445,-0.0797
1446,-0.0598
1447,0.0598
1448,0.0000
1449,-0.1793
1450,-0.1395
1451,-0.1395
1452,-0.0598
1453,-0.0199
1454,-0.0996
1455,0.0000
1456,0.0398
1457,-0.0398
1458,0.0000
1459,-0.0398
1460,0.0000
1461,-0.0199
1462,-0.0996
1463,-0.0199
1464,-0.0797
1465,-0.0996
1466,-0.0199
1467,0.1195
1468,0.2191
1469,0.2191
1470,0.2988
1471,0.2988
1472,0.2391
1473,0.3188
1474,0.2391
1475,-0.3188
1476,-0.4980
1477,-0.4781
1478,-0.3586
1479,-0.1992
1480,-0.0398
1481,0.1395
1482,0.1395
1483,0.0398
1484,0.0797
1485,0.3188
1486,0.4383
1487,0.3188
1488,0.1992
1489,0.1594
1490,0.0598
1491,0.0398
1492,-0.0797
1493,-0.1594
1494,-0.3785
1495,-0.6773
1496,-0.7969
1497,-0.7371
1498,-0.3785
1499,-0.1395
1500,0.0996
1501,0.1594
1502,0.1992
1503,0.1992
1504,0.1992
1505,0.1992
1506,0.2590
1507,0.2191
1508,0.1195
1509,0.1195
1510,0.0996
1511,-0.0398
1512,-0.1395
1513,-0.1992
1514,-0.1793
1515,-0.0996
1516,0.0000
1517,0.0000
1518,0.0598
1519,0.0199
1520,-0.0598
1521,-0.1395
1522,-0.1395
1523,-0.1395
1524,-0.2391
1525,-0.1793
1526,-0.2391
1527,-0.2191
1528,-0.1992
1529,-0.1992
1530,-0.1395
1531,-0.1793
1532,-0.0996
1533,-0.1395
1534,0.0000
1535,0.0996
1536,0.0598
1537,0.0199
1538,-0.1793
1539,-0.2391
1540,-0.1594
1541,-0.0797
1542,-0.0797
1543,-0.0598
1544,0.0797
1545,0.1395
1546,0.2789
1547,0.0199
1548,-0.0199
1549,0.1992
1550,0.4184
1551,0.3785
1552,0.1793
1553,0.0797
1554,-0.0398
1555,-0.1195
1556,-0.2391
1557,-0.2191
1558,-0.6574
1559,-0.6176
1560,-0.3785
1561,-0.0199
1562,0.2590
1563,0.2590
1564,0.2391
1565,0.2988
1566,0.2391
1567,0.0199
1568,-0.0598
1569,-0.0797
1570,0.0598
1571,-0.0199
1572,0.0000
1573,0.0598
1574,0.0000
1575,-0.0398
1576,-0.0598
1577,-0.0797
1578,-0.0797
1579,-0.1594
1580,-0.0797
1581,-0.0199
1582,-0.0598
1583,0.0000
1584,-0.1195
1585,-0.1594
1586,-0.0398
1587,-0.0797
1588,-0.0199
1589,0.0996
1590,0.1594
1591,0.1395
1592,0.0797
1593,0.1195
1594,0.0398
1595,0.0398
1596,-0.0598
1597,-0.0996
1598,-0.1594
1599,-0.2590
1600,-0.2391
1601,-0.2590
1602,-0.1395
1603,0.0797
1604,0.1195
1605,0.2590
1606,0.3188
1607,0.3586
1608,0.3586
1609,0.2191
1610,0.0398
1611,0.0000
1612,-0.1395
1613,-0.1195
1614,-0.2191
1615,-0.2789
1616,-0.1594
1617,-0.1793
1618,-0.3387
1619,-0.3586
1620,-0.2789
1621,-0.3586
1622,-0.2590
1623,-0.2391
1624,-0.3387
1625,-0.3586
1626,-0.2391
1627,-0.0797
1628,0.0996
1629,0.2590
1630,0.3387
1631,0.4184
1632,0.3188
1633,0.1992
1634,-0.0598
1635,-0.2590
1636,-0.1793
1637,-0.0398
1638,0.0398
1639,0.0797
1640,0.1195
1641,0.0398
1642,-0.1594
1643,-0.1793
1644,-0.0199
1645,-0.0797
1646,-0.2191
1647,-0.3387
1648,-0.3785
1649,-0.3785
1650,-0.4184
1651,-0.3984
1652,-0.2391
1653,-0.1195
1654,-0.0598
1655,0.0598
1656,0.0996
1657,0.0797
1658,0.0199
1659,-0.1195
1660,-0.0797
1661,-0.0598
1662,0.0199
1663,0.0000
1664,0.0000
1665,-0.0199
1666,-0.0398
1667,-0.0398
1668,-0.0797
1669,-0.0797
1670,-0.1594
1671,0.0398
1672,0.0398
1673,0.1195
1674,-0.0797
1675,-0.1395
1676,-0.1992
1677,-0.1594
1678,-0.0598
1679,0.0199
1680,0.0598
1681,0.0996
1682,0.0797
1683,0.1195
1684,0.1594
1685,0.2590
1686,0.2191
1687,0.0000
1688,-0.1594
1689,-0.1793
1690,-0.2191
1691,-0.2789
1692,-0.3387
1693,-0.3984
1694,-0.2191
1695,-0.1195
1696,-0.0996
1697,0.0598
1698,-0.0398
1699,-0.0797
1700,0.1992
1701,0.3586
1702,0.4184
1703,0.2988
1704,0.2191
1705,0.1195
1706,0.0797
1707,0.0199
1708,-0.0996
1709,-0.2590
1710,-0.2590
1711,-0.1793
1712,-0.0398
1713,-0.0598
1714,-0.0199
1715,-0.1395
1716,-0.2988
1717,-0.2590
1718,-0.1793
1719,-0.1793
1720,-0.2391
1721,-0.1195
1722,-0.0598
1723,0.0797
1724,0.0199
1725,-0.0598
1726,-0.1594
1727,0.0398
1728,0.1793
1729,0.2191
1730,0.3387
1731,0.3188
1732,0.1992
1733,0.1992
1734,0.2191
1735,0.1395
1736,-0.2391
1737,-0.4383
1738,-0.7172
1739,-0.6574
1740,-0.5379
1741,-0.3586
1742,-0.0996
1743,0.0797
1744,0.1793
1745,0.1594
1746,-0.0199
1747,0.2590
1748,0.3984
1749,0.2191
1750,0.2191
1751,0.1793
1752,0.1793
1753,0.1992
1754,0.0598
1755,-0.0996
1756,0.0797
1757,0.2590
1758,0.3586
1759,0.4980
1760,0.4980
1761,0.4582
