Time (s),Kanaal 1
0,0.0797
1,0.0398
2,0.0996
3,0.0996
4,0.1195
5,0.0598
6,0.0398
7,0.0996
8,0.0000
9,-0.0199
10,0.0398
11,0.0598
12,0.0797
13,0.0598
14,0.0398
15,0.0797
16,0.0199
17,0.0797
18,0.0598
19,0.0598
20,0.0000
21,0.0797
22,0.0598
23,0.0598
24,0.0598
25,0.0996
26,0.1195
27,0.1195
28,0.0996
29,0.1195
30,0.0598
31,0.0797
32,0.0598
33,0.0398
34,0.0598
35,0.0598
36,0.0199
37,0.0398
38,0.0398
39,0.0199
40,0.0398
41,-0.0199
42,0.0199
43,-0.0598
44,-0.0598
45,-0.0398
46,-0.0996
47,-0.0797
48,0.0000
49,-0.0398
50,0.0000
51,0.0398
52,0.0598
53,0.0199
54,0.0797
55,0.0000
56,-0.0398
57,0.0000
58,-0.0199
59,-0.0199
60,0.0199
61,0.0000
62,0.0199
63,-0.0199
64,0.0797
65,0.0000
66,0.0000
67,-0.0398
68,-0.0398
69,0.0398
70,0.0000
71,0.0199
72,0.0398
73,0.0000
74,0.0000
75,0.0000
76,-0.0199
77,0.0000
78,-0.0598
79,-0.0199
80,-0.0797
81,-0.0199
82,0.0199
83,0.0000
84,0.0199
85,0.0598
86,0.0797
87,0.0797
88,0.1195
89,0.0996
90,0.1395
91,0.0598
92,0.0996
93,0.0797
94,0.0199
95,0.0000
96,0.0000
97,0.0000
98,0.0598
99,0.0000
100,0.0598
101,0.0000
102,0.0398
103,-0.0598
104,-0.0598
105,-0.0598
106,-0.0797
107,0.0000
108,-0.0598
109,-0.1395
110,-0.0996
111,-0.1395
112,-0.0598
113,-0.1594
114,-0.0996
115,-0.1395
116,-0.1594
117,-0.1594
118,-0.1793
119,-0.1594
120,-0.1195
121,-0.1793
122,-0.1395
123,-0.1793
124,-0.1992
125,-0.1594
126,-0.1395
127,-0.1395
128,-0.0598
129,-0.0598
130,-0.0199
131,0.0199
132,0.0598
133,-0.0598
134,-0.0199
135,0.0000
136,-0.0598
137,0.0000
138,0.0000
139,0.0000
140,0.0199
141,0.0598
142,0.0598
143,0.0598
144,0.0199
145,0.0598
146,0.0797
147,0.0598
148,0.0199
149,-0.0199
150,-0.0598
151,-0.0598
152,-0.0199
153,-0.0598
154,-0.0598
155,-0.0996
156,-0.0598
157,-0.0598
158,-0.0199
159,-0.0199
160,0.0199
161,-0.0598
162,-0.0199
163,0.0000
164,0.0199
165,-0.0199
166,-0.0797
167,-0.1395
168,-0.1594
169,-0.1793
170,-0.1793
171,-0.1793
172,-0.0398
173,-0.1195
174,-0.1195
175,-0.0996
176,-0.1594
177,-0.1594
178,-0.0996
179,-0.0996
180,-0.1195
181,-0.1195
182,-0.0797
183,-0.1594
184,-0.0598
185,-0.0996
186,-0.0797
187,-0.0598
188,-0.0797
189,-0.0398
190,-0.0996
191,-0.0996
192,-0.0398
193,-0.0797
194,-0.0598
195,-0.0996
196,-0.1195
197,-0.1395
198,-0.1395
199,-0.0598
200,-0.0797
201,-0.0598
202,-0.0598
203,-0.0797
204,-0.0797
205,-0.0797
206,-0.0598
207,-0.0199
208,-0.0199
209,-0.0199
210,0.0199
211,-0.0199
212,0.0199
213,0.0398
214,0.0000
215,0.0000
216,0.0000
217,0.0398
218,0.0598
219,0.0797
220,0.0797
221,0.0996
222,0.0797
223,0.0398
224,0.1395
225,0.0996
226,0.0797
227,0.1395
228,0.1195
229,0.1395
230,0.2191
231,0.1992
232,0.1793
233,0.1395
234,0.1793
235,0.1793
236,0.1594
237,0.1594
238,0.1594
239,0.0996
240,0.0598
241,0.0398
242,0.0598
243,0.0199
244,0.0000
245,0.0000
246,-0.0199
247,-0.0398
248,-0.0797
249,-0.0797
250,-0.0598
251,-0.0398
252,0.0199
253,0.0199
254,0.0000
255,0.0199
256,-0.0199
257,-0.0996
258,-0.0598
259,-0.1195
260,-0.1195
261,-0.0996
262,-0.1395
263,-0.1195
264,-0.0797
265,-0.0797
266,-0.0797
267,-0.0598
268,-0.0996
269,-0.1195
270,-0.1395
271,-0.0996
272,-0.0398
273,-0.0398
274,-0.0398
275,-0.0398
276,-0.0598
277,-0.0398
278,0.0000
279,0.0000
280,0.0199
281,0.0000
282,0.0598
283,0.0199
284,0.0797
285,0.0797
286,0.0996
287,0.0996
288,0.0598
289,0.0398
290,0.0199
291,0.0398
292,0.0996
293,0.0797
294,0.0996
295,0.0996
296,0.1594
297,0.1793
298,0.1395
299,0.1793
300,0.1195
301,0.1395
302,0.1594
303,0.1594
304,0.2391
305,0.2391
306,0.1992
307,0.2191
308,0.2191
309,0.1793
310,0.1395
311,0.0598
312,0.0797
313,0.0797
314,0.0996
315,0.0996
316,0.0996
317,0.0996
318,0.0398
319,0.0000
320,0.0398
321,-0.0199
322,-0.0996
323,-0.0598
324,-0.0199
325,0.0797
326,0.0199
327,0.0199
328,-0.0199
329,0.0398
330,0.0199
331,0.0000
332,0.0398
333,0.0199
334,0.0398
335,0.0398
336,0.0199
337,-0.0598
338,-0.0598
339,-0.0598
340,-0.0398
341,-0.1195
342,-0.0996
343,-0.2191
344,-0.1594
345,-0.1594
346,-0.1395
347,-0.0797
348,-0.0996
349,-0.1395
350,-0.1594
351,-0.1594
352,-0.1594
353,-0.1992
354,-0.1992
355,-0.1195
356,-0.0797
357,-0.1195
358,-0.1195
359,-0.0996
360,-0.0797
361,-0.0797
362,-0.1395
363,-0.0797
364,-0.1395
365,-0.1992
366,-0.1594
367,-0.0598
368,-0.1395
369,-0.1395
370,-0.0598
371,-0.0797
372,-0.0598
373,-0.0797
374,-0.0398
375,-0.0797
376,-0.0996
377,-0.0797
378,-0.0797
379,-0.1195
380,-0.1195
381,-0.0598
382,-0.0398
383,0.0000
384,-0.0797
385,0.0199
386,-0.0199
387,0.0199
388,0.0199
389,-0.0398
390,0.0000
391,-0.0598
392,-0.0199
393,-0.0199
394,0.0398
395,0.0199
396,0.0398
397,0.0598
398,0.0797
399,0.0199
400,0.0598
401,0.0797
402,0.1395
403,0.0797
404,0.0199
405,0.0398
406,-0.0199
407,0.0199
408,-0.0199
409,0.0598
410,0.0598
411,0.0797
412,0.0996
413,0.0000
414,0.0996
415,0.0199
416,-0.0199
417,-0.0199
418,-0.0398
419,-0.0398
420,-0.0199
421,-0.0199
422,0.0000
423,-0.0398
424,-0.0398
425,-0.0199
426,0.0199
427,0.0199
428,0.0398
429,-0.0199
430,-0.0199
431,-0.0598
432,-0.0996
433,-0.0797
434,-0.1395
435,0.0000
436,0.0199
437,0.0398
438,0.0996
439,0.0797
440,0.0797
441,0.0598
442,-0.0398
443,-0.0996
444,-0.0996
445,-0.1195
446,-0.0996
447,-0.0598
448,-0.0398
449,0.0000
450,0.0199
451,0.0000
452,-0.0398
453,0.0000
454,0.0199
455,-0.0398
456,-0.0398
457,-0.0199
458,-0.0797
459,-0.0398
460,0.0000
