Time (s),Kanaal 1
0,0.2988
1,0.3188
2,0.3188
3,0.2988
4,0.2789
5,0.2988
6,0.3387
7,0.3188
8,0.2391
9,0.2391
10,0.2789
11,0.1992
12,0.1594
13,0.1195
14,0.1395
15,0.1594
16,0.1395
17,0.1793
18,0.0797
19,0.0996
20,0.1195
21,0.0797
22,0.1793
23,0.3188
24,0.3785
25,0.2988
26,0.2789
27,0.1395
28,0.1395
29,0.0000
30,-0.0598
31,-0.1594
32,-0.0996
33,-0.0398
34,-0.0598
35,0.0398
36,0.0398
37,0.0000
38,0.0598
39,0.0398
40,0.0797
41,0.0996
42,0.1395
43,0.1992
44,0.1992
45,0.1992
46,0.1992
47,0.1992
48,0.2391
49,0.1992
50,0.1594
51,0.1195
52,0.1395
53,0.1395
54,0.0996
55,0.1195
56,0.1395
57,0.0996
58,0.1195
59,0.1395
60,0.1793
61,0.1992
62,0.2391
63,0.3188
64,0.2988
65,0.3188
66,0.3387
67,0.2590
68,0.1992
69,0.1594
70,0.0598
71,0.0598
72,0.0598
73,0.0000
74,0.0598
75,0.0199
76,0.0598
77,0.0199
78,0.0996
79,0.0797
80,0.1395
81,0.1793
82,0.1594
83,0.1395
84,0.1395
85,0.1195
86,0.0797
87,0.0000
88,0.0398
89,0.0996
90,0.1195
91,0.1594
92,0.2191
93,0.2391
94,0.1793
95,0.1793
96,0.0996
97,0.0598
98,0.0000
99,0.0398
100,0.0398
101,0.0398
102,0.0996
103,0.0996
104,0.1594
105,0.1594
106,0.1594
107,0.1793
108,0.1594
109,0.1793
110,0.1793
111,0.2391
112,0.2191
113,0.1992
114,0.1992
115,0.1793
116,0.1793
117,0.1992
118,0.1992
119,0.1992
120,0.1793
121,0.2391
122,0.2191
123,0.2590
124,0.2590
125,0.1793
126,0.2391
127,0.2789
128,0.2191
129,0.2789
130,0.3387
131,0.2789
132,0.2590
133,0.2391
134,0.1992
135,0.1793
136,0.1793
137,0.0797
138,0.1395
139,0.1395
140,0.1395
141,0.1992
142,0.1992
143,0.2391
144,0.2391
145,0.1793
146,0.2391
147,0.2391
148,0.2590
149,0.2988
150,0.3188
151,0.2590
152,0.2191
153,0.2789
154,0.2391
155,0.0996
156,0.1395
157,0.0398
158,0.0398
159,0.0797
160,0.0199
161,0.0199
162,0.0398
163,0.0000
164,0.0199
165,0.0199
166,0.0199
167,0.1195
168,0.1395
169,0.0996
170,0.0598
171,-0.0598
172,-0.1395
173,-0.1793
174,-0.1395
175,-0.1793
176,-0.1793
177,-0.2191
178,-0.1195
179,-0.0797
180,-0.0598
181,0.0199
182,-0.0199
183,0.0000
184,0.0000
185,0.0000
186,-0.0199
187,0.0000
188,0.0398
189,0.0199
190,0.0000
191,0.0000
192,0.0398
193,0.0398
194,0.0598
195,0.0199
196,0.1195
197,0.1793
198,0.1195
199,0.1395
